id,createdAt,updatedAt,sourceId,timestamp,description,value,currency,type,transactionConfirmed,predictedClassification,actualClassification,company,linkedTransaction,sourceClassification,bankAccount,merchant,isNegative,linkedUser,associatedDataImport,balancingAccount,deleted,linkedPayment,openingDepreciation,source,associatedPayrun,associatedEmployee,sourceConnection,sourceTimestamp,normalisedTransactionId
clreupupm007601s69nqp97wc,2024-01-15 11:38:11.51,2024-01-15 11:38:11.51,clreup9vg000f01s6enc7628f-QPGGGGGG050SORIGINAL,2024-01-12 00:00:00,NULL,0.020000000000000000000000000000,AUD,DEBIT,false,C100,C100,clreup8oi0002o9vy74s8sno1,NULL,NULL,clreup9vg000f01s6enc7628f,NULL,true,NULL,NULL,C400,false,NULL,NULL,NULL,NULL,NULL,NULL,NULL,clreup9vg000f01s6enc7628f-QPGGGGGG050SORIGINAL
clreupupm007701s6cfff648c,2024-01-15 11:38:11.635,2024-01-15 11:38:11.635,clreup9vg000f01s6enc7628f-QXGGGGGG050YORIGINAL,2024-01-12 00:00:00,NULL,0.050000000000000000000000000000,AUD,DEBIT,false,C100,C100,clreup8oi0002o9vy74s8sno1,NULL,NULL,clreup9vg000f01s6enc7628f,NULL,true,NULL,NULL,C400,false,NULL,NULL,NULL,NULL,NULL,NULL,NULL,clreup9vg000f01s6enc7628f-QXGGGGGG050YORIGINAL
clreupupm007801s63feefvar,2024-01-15 11:38:11.515,2024-01-15 11:38:11.515,clreup9vg000f01s6enc7628f-QPGGGGGG0PG8ORIGINAL,2023-11-20 00:00:00,NULL,0.890000000000000000000000000000,AUD,CREDIT,false,C100,C100,clreup8oi0002o9vy74s8sno1,NULL,NULL,clreup9vg000f01s6enc7628f,NULL,false,NULL,NULL,C400,false,NULL,NULL,NULL,NULL,NULL,NULL,NULL,clreup9vg000f01s6enc7628f-QPGGGGGG0PG8ORIGINAL
clreupupm007901s60ulsasab,2024-01-15 11:38:11.541,2024-01-15 11:38:11.541,clreup9vg000f01s6enc7628f-QPGGGGGG0OXGORIGINAL,2023-10-23 00:00:00,NULL,0.120000000000000000000000000000,AUD,DEBIT,false,C100,C100,clreup8oi0002o9vy74s8sno1,NULL,NULL,clreup9vg000f01s6enc7628f,NULL,true,NULL,NULL,C400,false,NULL,NULL,NULL,NULL,NULL,NULL,NULL,clreup9vg000f01s6enc7628f-QPGGGGGG0OXGORIGINAL
clreupupm007a01s6a1w1emxy,2024-01-15 11:38:11.454,2024-01-15 11:38:11.454,clreup9vg000f01s6enc7628f-QPGGGGGG0OISORIGINAL,2023-10-23 00:00:00,NULL,0.020000000000000000000000000000,AUD,CREDIT,false,C100,C100,clreup8oi0002o9vy74s8sno1,NULL,NULL,clreup9vg000f01s6enc7628f,NULL,false,NULL,NULL,C400,false,NULL,NULL,NULL,NULL,NULL,NULL,NULL,clreup9vg000f01s6enc7628f-QPGGGGGG0OISORIGINAL
clreupupm007b01s62p7i3bnz,2024-01-15 11:38:11.564,2024-01-15 11:38:11.564,clreup9vg000f01s6enc7628f-QPGGGGGG0OE7ORIGINAL,2023-10-19 00:00:00,NULL,0.110000000000000000000000000000,AUD,CREDIT,false,C100,C100,clreup8oi0002o9vy74s8sno1,NULL,NULL,clreup9vg000f01s6enc7628f,NULL,false,NULL,NULL,C400,false,NULL,NULL,NULL,NULL,NULL,NULL,NULL,clreup9vg000f01s6enc7628f-QPGGGGGG0OE7ORIGINAL
clreupupm007c01s6gber8oyu,2024-01-15 11:38:11.536,2024-01-15 11:38:11.536,clreup9vg000f01s6enc7628f-QPGGGGGG0ODJORIGINAL,2023-10-19 00:00:00,NULL,0.210000000000000000000000000000,AUD,CREDIT,false,C100,C100,clreup8oi0002o9vy74s8sno1,NULL,NULL,clreup9vg000f01s6enc7628f,NULL,false,NULL,NULL,C400,false,NULL,NULL,NULL,NULL,NULL,NULL,NULL,clreup9vg000f01s6enc7628f-QPGGGGGG0ODJORIGINAL
clrhsqlyo00s901s6hfmxdf3e,2024-01-17 13:06:08.338,2024-01-17 13:06:08.338,clreup9vg000f01s6enc7628f-QXGGGGGG0XLDORIGINAL,2023-06-14 00:00:00,NULL,7.700000000000000000000000000000,AUD,DEBIT,false,C100,C100,clreup8oi0002o9vy74s8sno1,NULL,NULL,clreup9vg000f01s6enc7628f,NULL,true,NULL,NULL,C400,false,NULL,NULL,NULL,NULL,NULL,NULL,NULL,clreup9vg000f01s6enc7628f-QXGGGGGG0XLDORIGINAL
clrhsqlyo00sa01s67wh06vmk,2024-01-17 13:06:08.203,2024-01-17 13:06:08.203,clreup9vg000f01s6enc7628f-QXGGGGGG0XAVORIGINAL,2023-06-13 00:00:00,NULL,8.199999999999999000000000000000,AUD,DEBIT,false,C100,C100,clreup8oi0002o9vy74s8sno1,NULL,NULL,clreup9vg000f01s6enc7628f,NULL,true,NULL,NULL,C400,false,NULL,NULL,NULL,NULL,NULL,NULL,NULL,clreup9vg000f01s6enc7628f-QXGGGGGG0XAVORIGINAL
clrhsqlyo00sb01s611xmg6zw,2024-01-17 13:06:08.373,2024-01-17 13:06:08.373,clreup9vg000f01s6enc7628f-QXGGGGGG0XEVORIGINAL,2023-06-12 00:00:00,NULL,5.200000000000000000000000000000,AUD,DEBIT,false,C100,C100,clreup8oi0002o9vy74s8sno1,NULL,NULL,clreup9vg000f01s6enc7628f,NULL,true,NULL,NULL,C400,false,NULL,NULL,NULL,NULL,NULL,NULL,NULL,clreup9vg000f01s6enc7628f-QXGGGGGG0XEVORIGINAL
clrhsqlyo00sc01s6blih13ui,2024-01-17 13:06:08.465,2024-01-17 13:06:08.465,clreup9vg000f01s6enc7628f-QXGGGGGG0IYGORIGINAL,2023-06-09 00:00:00,NULL,3.300000000000000000000000000000,AUD,DEBIT,false,C100,C100,clreup8oi0002o9vy74s8sno1,NULL,NULL,clreup9vg000f01s6enc7628f,NULL,true,NULL,NULL,C400,false,NULL,NULL,NULL,NULL,NULL,NULL,NULL,clreup9vg000f01s6enc7628f-QXGGGGGG0IYGORIGINAL
clrhsqlyo00sd01s61rv2fhu8,2024-01-17 13:06:07.518,2024-01-17 13:06:07.518,clreup9vg000f01s6enc7628f-QXGGGGGG0IB3ORIGINAL,2023-06-08 00:00:00,NULL,7.000000000000000000000000000000,AUD,DEBIT,false,C100,C100,clreup8oi0002o9vy74s8sno1,NULL,NULL,clreup9vg000f01s6enc7628f,NULL,true,NULL,NULL,C400,false,NULL,NULL,NULL,NULL,NULL,NULL,NULL,clreup9vg000f01s6enc7628f-QXGGGGGG0IB3ORIGINAL
clrhsqlyo00se01s68k3odsft,2024-01-17 13:06:08.322,2024-01-17 13:06:08.322,clreup9vg000f01s6enc7628f-QXGGGGGG0ITVORIGINAL,2023-06-08 00:00:00,NULL,1.400000000000000000000000000000,AUD,DEBIT,false,C100,C100,clreup8oi0002o9vy74s8sno1,NULL,NULL,clreup9vg000f01s6enc7628f,NULL,true,NULL,NULL,C400,false,NULL,NULL,NULL,NULL,NULL,NULL,NULL,clreup9vg000f01s6enc7628f-QXGGGGGG0ITVORIGINAL
clrhsqlyo00sf01s664abc07i,2024-01-17 13:06:07.479,2024-01-17 13:06:07.479,clreup9vg000f01s6enc7628f-QXGGGGGG0IW9ORIGINAL,2023-06-08 00:00:00,NULL,3.000000000000000000000000000000,AUD,DEBIT,false,C100,C100,clreup8oi0002o9vy74s8sno1,NULL,NULL,clreup9vg000f01s6enc7628f,NULL,true,NULL,NULL,C400,false,NULL,NULL,NULL,NULL,NULL,NULL,NULL,clreup9vg000f01s6enc7628f-QXGGGGGG0IW9ORIGINAL
clrhsqlyo00sg01s62gnc2mww,2024-01-17 13:06:07.575,2024-01-17 13:06:07.575,clreup9vg000f01s6enc7628f-QXGGGGGG0IQZORIGINAL,2023-06-07 00:00:00,NULL,6.000000000000000000000000000000,AUD,DEBIT,false,C100,C100,clreup8oi0002o9vy74s8sno1,NULL,NULL,clreup9vg000f01s6enc7628f,NULL,true,NULL,NULL,C400,false,NULL,NULL,NULL,NULL,NULL,NULL,NULL,clreup9vg000f01s6enc7628f-QXGGGGGG0IQZORIGINAL
clrhsqlyo00sh01s60ff7glev,2024-01-17 13:06:08.514,2024-01-17 13:06:08.514,clreup9vg000f01s6enc7628f-QXGGGGGG0I5LORIGINAL,2023-06-07 00:00:00,NULL,5.900000000000000000000000000000,AUD,DEBIT,false,C100,C100,clreup8oi0002o9vy74s8sno1,NULL,NULL,clreup9vg000f01s6enc7628f,NULL,true,NULL,NULL,C400,false,NULL,NULL,NULL,NULL,NULL,NULL,NULL,clreup9vg000f01s6enc7628f-QXGGGGGG0I5LORIGINAL
clrhsqlyo00si01s69pt5f8lv,2024-01-17 13:06:08.288,2024-01-17 13:06:08.288,clreup9vg000f01s6enc7628f-QXGGGGGG0IKXORIGINAL,2023-06-07 00:00:00,NULL,6.400000000000000000000000000000,AUD,DEBIT,false,C100,C100,clreup8oi0002o9vy74s8sno1,NULL,NULL,clreup9vg000f01s6enc7628f,NULL,true,NULL,NULL,C400,false,NULL,NULL,NULL,NULL,NULL,NULL,NULL,clreup9vg000f01s6enc7628f-QXGGGGGG0IKXORIGINAL
